Input Size,Radix Sort,Counting Sort,Bucket Sort
100000,1.3807123184204102,0.24064579010009765,N/A
200000,1.6031964302062989,0.346498441696167,N/A
300000,1.775144672393799,0.4542834758758545,N/A
400000,2.0724565029144286,0.5696034908294678,N/A
500000,2.643452262878418,0.7166175842285156,N/A
600000,3.0675026893615724,0.7791475772857666,N/A
700000,3.6327981472015383,0.897463035583496,N/A
800000,4.186584711074829,0.9981255054473877,N/A
900000,4.970706558227539,1.1218589782714843,N/A
1000000,5.190286540985108,1.2106675624847412,N/A
